[2025-05-04 18:49:20,914][INFO] Starting sequential optimization...
[2025-05-04 18:49:20,914][INFO] Testing 90 parameter combinations
[2025-05-04 18:49:47,504][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 60, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -17.1770
[2025-05-04 18:55:42,070][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -15.1261
[2025-05-04 18:56:09,006][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -26.3609
[2025-05-04 18:56:34,765][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -21.4953
[2025-05-04 18:56:59,753][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 65, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -18.5961
[2025-05-04 18:57:25,060][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -15.6189
[2025-05-04 18:57:49,340][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -13.8995
[2025-05-04 18:58:13,400][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -11.1389
[2025-05-04 18:58:40,504][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -18.8318
[2025-05-04 18:59:05,223][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -19.6095
[2025-05-04 18:59:29,450][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -15.7620
[2025-05-04 18:59:55,926][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -21.5948
[2025-05-04 19:00:20,992][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -21.0667
[2025-05-04 19:00:45,222][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 70, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -15.2135
[2025-05-04 19:01:10,891][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -14.3167
[2025-05-04 19:01:35,977][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -14.1223
[2025-05-04 19:02:00,105][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -10.1261
[2025-05-04 19:02:25,515][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -16.2921
[2025-05-04 19:02:51,524][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -17.6769
[2025-05-04 19:03:15,486][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -13.4230
[2025-05-04 19:03:40,938][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -16.9486
[2025-05-04 19:04:05,137][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -17.1676
[2025-05-04 19:04:29,307][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 75, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -14.2946
[2025-05-04 19:04:54,197][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -10.2919
[2025-05-04 19:05:20,641][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -11.3840
[2025-05-04 19:05:49,642][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -9.8292
[2025-05-04 19:06:17,654][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -10.9898
[2025-05-04 19:06:44,924][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -12.4083
[2025-05-04 19:07:11,926][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -11.4020
[2025-05-04 19:07:39,216][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -11.5068
[2025-05-04 19:08:07,609][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -12.3863
[2025-05-04 19:08:34,215][INFO] Completed backtest for params {'rsi_period': 10, 'overbought': 80, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -12.2743
[2025-05-04 19:09:01,483][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -13.2587
[2025-05-04 19:09:30,997][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -10.7825
[2025-05-04 19:10:02,246][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -9.8454
[2025-05-04 19:10:36,090][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -17.4359
[2025-05-04 19:11:05,306][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -15.5633
[2025-05-04 19:11:36,135][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -12.0210
[2025-05-04 19:12:06,239][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -22.4873
[2025-05-04 19:12:35,801][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -17.7369
[2025-05-04 19:13:04,921][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 60, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -15.8002
[2025-05-04 19:13:36,269][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -13.0606
[2025-05-04 19:14:10,245][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -10.1629
[2025-05-04 19:14:43,858][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -9.1320
[2025-05-04 19:15:19,512][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -16.2270
[2025-05-04 19:15:53,823][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -13.1723
[2025-05-04 19:16:28,222][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -12.3713
[2025-05-04 19:17:05,397][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -19.8681
[2025-05-04 19:17:41,647][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -17.3588
[2025-05-04 19:18:14,450][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 65, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -15.0900
[2025-05-04 19:18:56,192][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -11.9534
[2025-05-04 19:19:35,085][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -10.1983
[2025-05-04 19:20:14,825][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -8.2077
[2025-05-04 19:20:53,337][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -13.0680
[2025-05-04 19:21:33,899][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -11.6006
[2025-05-04 19:22:11,214][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -8.4923
[2025-05-04 19:22:48,838][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -15.3890
[2025-05-04 19:23:27,173][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -14.0536
[2025-05-04 19:24:04,233][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 70, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -11.1303
[2025-05-04 19:24:42,618][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -8.1154
[2025-05-04 19:25:21,413][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -7.2958
[2025-05-04 19:25:59,851][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -6.0103
[2025-05-04 19:26:38,668][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -9.4509
[2025-05-04 19:27:17,039][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -9.2888
[2025-05-04 19:27:54,165][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -7.1634
[2025-05-04 19:28:33,544][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -11.2805
[2025-05-04 19:29:12,781][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -12.2461
[2025-05-04 19:29:51,589][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 75, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -7.8928
[2025-05-04 19:30:31,702][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 20, 'wait_period': 5}: Sharpe Ratio = -5.5195
[2025-05-04 19:31:11,641][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 20, 'wait_period': 10}: Sharpe Ratio = -5.1428
[2025-05-04 19:31:51,046][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 20, 'wait_period': 15}: Sharpe Ratio = -3.1790
[2025-05-04 19:32:31,421][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 25, 'wait_period': 5}: Sharpe Ratio = -4.0539
[2025-05-04 19:33:12,260][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 25, 'wait_period': 10}: Sharpe Ratio = -4.8117
[2025-05-04 19:33:52,658][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 25, 'wait_period': 15}: Sharpe Ratio = -3.2292
[2025-05-04 19:34:34,802][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 30, 'wait_period': 5}: Sharpe Ratio = -5.4761
[2025-05-04 19:35:14,342][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 30, 'wait_period': 10}: Sharpe Ratio = -6.7999
[2025-05-04 19:35:54,593][INFO] Completed backtest for params {'rsi_period': 12, 'overbought': 80, 'oversold': 30, 'wait_period': 15}: Sharpe Ratio = -4.0203
[2025-05-04 19:35:54,601][INFO] Results saved to reports/optimization_results.csv
[2025-05-04 19:35:54,601][INFO] Best Parameters: {'rsi_period': 12.0, 'overbought': 80.0, 'oversold': 20.0, 'wait_period': 15.0}
[2025-05-04 19:35:54,601][INFO] Best Sharpe Ratio: -3.1790
[2025-05-04 19:35:54,601][INFO] Optimization completed in 0:46:33.687022
